p,d,offsets,span,status,witness_a,witness_pattern,witness_count
2,1,0;1;2,2,no_pattern,,,
3,2,0;2;4,4,no_pattern,,,
5,4,0;4;8,8,no_pattern,,,
7,6,0;6;12,12,pattern,0,0;6;12,
11,10,0;10;20,20,no_pattern,,,
13,12,0;12;24,24,pattern,0,0;12;24,
17,16,0;16;32,32,no_pattern,,,
19,18,0;18;36,36,pattern,0,0;18;36,
23,22,0;22;44,44,no_pattern,,,
29,28,0;28;56,56,no_pattern,,,
31,30,0;30;60,60,pattern,0,0;30;60,
37,36,0;36;72,72,pattern,0,0;36;72,
41,40,0;40;80,80,no_pattern,,,
43,42,0;42;84,84,pattern,0,0;42;84,
47,46,0;46;92,92,no_pattern,,,
53,52,0;52;104,104,no_pattern,,,
59,58,0;58;116,116,no_pattern,,,
61,60,0;60;120,120,pattern,0,0;60;120,
67,66,0;66;132,132,pattern,0,0;66;132,
71,70,0;70;140,140,no_pattern,,,
73,72,0;72;144,144,pattern,0,0;72;144,
79,78,0;78;156,156,pattern,0,0;78;156,
83,82,0;82;164,164,no_pattern,,,
89,88,0;88;176,176,no_pattern,,,
97,96,0;96;192,192,pattern,0,0;96;192,
101,100,0;100;200,200,no_pattern,,,
103,102,0;102;204,204,pattern,0,0;102;204,
107,106,0;106;212,212,no_pattern,,,
109,108,0;108;216,216,pattern,0,0;108;216,
113,112,0;112;224,224,no_pattern,,,
127,126,0;126;252,252,pattern,0,0;126;252,
131,130,0;130;260,260,no_pattern,,,
137,136,0;136;272,272,no_pattern,,,
139,138,0;138;276,276,pattern,0,0;138;276,
149,148,0;148;296,296,no_pattern,,,
151,150,0;150;300,300,pattern,0,0;150;300,
157,156,0;156;312,312,pattern,0,0;156;312,
163,162,0;162;324,324,pattern,0,0;162;324,
167,166,0;166;332,332,no_pattern,,,
173,172,0;172;344,344,no_pattern,,,
179,178,0;178;356,356,no_pattern,,,
181,180,0;180;360,360,pattern,0,0;180;360,
191,190,0;190;380,380,no_pattern,,,
193,192,0;192;384,384,pattern,0,0;192;384,
197,196,0;196;392,392,no_pattern,,,
199,198,0;198;396,396,pattern,0,0;198;396,
