p,d,offsets,span,status,witness_a,witness_pattern,witness_count
2,1,0;1,1,pattern,0,0;1,
3,2,0;4,4,no_pattern,,,
5,4,0;16,16,pattern,8,8;24,
7,6,0;36,36,no_pattern,,,
11,10,0;100,100,no_pattern,,,
13,12,0;144,144,pattern,72,72;216,
17,16,0;256,256,no_pattern,,,
19,18,0;324,324,no_pattern,,,
23,22,0;484,484,no_pattern,,,
29,28,0;784,784,no_pattern,,,
31,30,0;900,900,no_pattern,,,
37,36,0;1296,1296,no_pattern,,,
41,40,0;1600,1600,pattern,0,0;1600,
43,42,0;1764,1764,no_pattern,,,
47,46,0;2116,2116,no_pattern,,,
53,52,0;2704,2704,pattern,1608,1608;4312,
59,58,0;3364,3364,no_pattern,,,
61,60,0;3600,3600,pattern,520,520;4120,
67,66,0;4356,4356,no_pattern,,,
71,70,0;4900,4900,no_pattern,,,
73,72,0;5184,5184,pattern,512,512;5696,
79,78,0;6084,6084,no_pattern,,,
83,82,0;6724,6724,no_pattern,,,
89,88,0;7744,7744,pattern,4608,4608;12352,
97,96,0;9216,9216,pattern,4608,4608;13824,
101,100,0;10000,10000,no_pattern,,,
103,102,0;10404,10404,no_pattern,,,
107,106,0;11236,11236,no_pattern,,,
109,108,0;11664,11664,pattern,712,712;12376,
113,112,0;12544,12544,no_pattern,,,
127,126,0;15876,15876,no_pattern,,,
131,130,0;16900,16900,no_pattern,,,
137,136,0;18496,18496,no_pattern,,,
139,138,0;19044,19044,no_pattern,,,
149,148,0;21904,21904,pattern,12488,12488;34392,
151,150,0;22500,22500,no_pattern,,,
157,156,0;24336,24336,no_pattern,,,
163,162,0;26244,26244,no_pattern,,,
167,166,0;27556,27556,no_pattern,,,
173,172,0;29584,29584,pattern,4808,4808;34392,
179,178,0;31684,31684,no_pattern,,,
181,180,0;32400,32400,pattern,584,584;32984,
191,190,0;36100,36100,no_pattern,,,
193,192,0;36864,36864,pattern,0,0;36864,
197,196,0;38416,38416,pattern,8,8;38424,
199,198,0;39204,39204,no_pattern,,,
211,210,0;44100,44100,no_pattern,,,
223,222,0;49284,49284,no_pattern,,,
227,226,0;51076,51076,no_pattern,,,
229,228,0;51984,51984,no_pattern,,,
233,232,0;53824,53824,pattern,45056,45056;98880,
239,238,0;56644,56644,no_pattern,,,
241,240,0;57600,57600,no_pattern,,,
251,250,0;62500,62500,no_pattern,,,
257,256,0;65536,65536,pattern,32768,32768;98304,
263,262,0;68644,68644,no_pattern,,,
269,268,0;71824,71824,no_pattern,,,
271,270,0;72900,72900,no_pattern,,,
277,276,0;76176,76176,pattern,34504,34504;110680,
281,280,0;78400,78400,pattern,32768,32768;111168,
283,282,0;79524,79524,no_pattern,,,
293,292,0;85264,85264,no_pattern,,,
307,306,0;93636,93636,no_pattern,,,
311,310,0;96100,96100,no_pattern,,,
313,312,0;97344,97344,pattern,1536,1536;98880,
317,316,0;99856,99856,pattern,8,8;99864,
331,330,0;108900,108900,no_pattern,,,
337,336,0;112896,112896,no_pattern,,,
347,346,0;119716,119716,no_pattern,,,
349,348,0;121104,121104,no_pattern,,,
353,352,0;123904,123904,no_pattern,,,
359,358,0;128164,128164,no_pattern,,,
367,366,0;133956,133956,no_pattern,,,
373,372,0;138384,138384,no_pattern,,,
379,378,0;142884,142884,no_pattern,,,
383,382,0;145924,145924,no_pattern,,,
389,388,0;150544,150544,pattern,112136,112136;262680,
397,396,0;156816,156816,pattern,111176,111176;267992,
401,400,0;160000,160000,no_pattern,,,
409,408,0;166464,166464,pattern,99840,99840;266304,
419,418,0;174724,174724,no_pattern,,,
421,420,0;176400,176400,no_pattern,,,
431,430,0;184900,184900,no_pattern,,,
433,432,0;186624,186624,no_pattern,,,
439,438,0;191844,191844,no_pattern,,,
443,442,0;195364,195364,no_pattern,,,
449,448,0;200704,200704,pattern,98304,98304;299008,
457,456,0;207936,207936,pattern,99840,99840;307776,
461,460,0;211600,211600,no_pattern,,,
463,462,0;213444,213444,no_pattern,,,
467,466,0;217156,217156,no_pattern,,,
479,478,0;228484,228484,no_pattern,,,
487,486,0;236196,236196,no_pattern,,,
491,490,0;240100,240100,no_pattern,,,
499,498,0;248004,248004,no_pattern,,,
503,502,0;252004,252004,no_pattern,,,
509,508,0;258064,258064,pattern,4104,4104;262168,
521,520,0;270400,270400,pattern,4096,4096;274496,
523,522,0;272484,272484,no_pattern,,,
541,540,0;291600,291600,no_pattern,,,
547,546,0;298116,298116,no_pattern,,,
557,556,0;309136,309136,no_pattern,,,
563,562,0;315844,315844,no_pattern,,,
569,568,0;322624,322624,pattern,38400,38400;361024,
571,570,0;324900,324900,no_pattern,,,
577,576,0;331776,331776,pattern,32768,32768;364544,
587,586,0;343396,343396,no_pattern,,,
593,592,0;350464,350464,no_pattern,,,
599,598,0;357604,357604,no_pattern,,,
601,600,0;360000,360000,pattern,512,512;360512,
607,606,0;367236,367236,no_pattern,,,
613,612,0;374544,374544,no_pattern,,,
617,616,0;379456,379456,no_pattern,,,
619,618,0;381924,381924,no_pattern,,,
631,630,0;396900,396900,no_pattern,,,
641,640,0;409600,409600,no_pattern,,,
643,642,0;412164,412164,no_pattern,,,
647,646,0;417316,417316,no_pattern,,,
653,652,0;425104,425104,pattern,362056,362056;787160,
659,658,0;432964,432964,no_pattern,,,
661,660,0;435600,435600,pattern,364744,364744;800344,
673,672,0;451584,451584,pattern,373248,373248;824832,
677,676,0;456976,456976,no_pattern,,,
683,682,0;465124,465124,no_pattern,,,
691,690,0;476100,476100,no_pattern,,,
701,700,0;490000,490000,pattern,296456,296456;786456,
709,708,0;501264,501264,pattern,299016,299016;800280,
719,718,0;515524,515524,no_pattern,,,
727,726,0;527076,527076,no_pattern,,,
733,732,0;535824,535824,no_pattern,,,
739,738,0;544644,544644,no_pattern,,,
743,742,0;550564,550564,no_pattern,,,
751,750,0;562500,562500,no_pattern,,,
757,756,0;571536,571536,no_pattern,,,
761,760,0;577600,577600,pattern,307200,307200;884800,
769,768,0;589824,589824,pattern,294912,294912;884736,
773,772,0;595984,595984,no_pattern,,,
787,786,0;617796,617796,no_pattern,,,
797,796,0;633616,633616,no_pattern,,,
809,808,0;652864,652864,no_pattern,,,
811,810,0;656100,656100,no_pattern,,,
821,820,0;672400,672400,no_pattern,,,
823,822,0;675684,675684,no_pattern,,,
827,826,0;682276,682276,no_pattern,,,
829,828,0;685584,685584,pattern,102408,102408;787992,
839,838,0;702244,702244,no_pattern,,,
853,852,0;725904,725904,pattern,99016,99016;824920,
857,856,0;732736,732736,pattern,98816,98816;831552,
859,858,0;736164,736164,no_pattern,,,
863,862,0;743044,743044,no_pattern,,,
877,876,0;767376,767376,pattern,32968,32968;800344,
881,880,0;774400,774400,no_pattern,,,
883,882,0;777924,777924,no_pattern,,,
887,886,0;784996,784996,no_pattern,,,
907,906,0;820836,820836,no_pattern,,,
911,910,0;828100,828100,no_pattern,,,
919,918,0;842724,842724,no_pattern,,,
929,928,0;861184,861184,pattern,37376,37376;898560,
937,936,0;876096,876096,pattern,12800,12800;888896,
941,940,0;883600,883600,pattern,1736,1736;885336,
947,946,0;894916,894916,no_pattern,,,
953,952,0;906304,906304,no_pattern,,,
967,966,0;933156,933156,no_pattern,,,
971,970,0;940900,940900,no_pattern,,,
977,976,0;952576,952576,no_pattern,,,
983,982,0;964324,964324,no_pattern,,,
991,990,0;980100,980100,no_pattern,,,
997,996,0;992016,992016,no_pattern,,,
1009,1008,0;1016064,1016064,no_pattern,,,
1013,1012,0;1024144,1024144,no_pattern,,,
1019,1018,0;1036324,1036324,no_pattern,,,
1021,1020,0;1040400,1040400,no_pattern,,,
1031,1030,0;1060900,1060900,no_pattern,,,
1033,1032,0;1065024,1065024,no_pattern,,,
1039,1038,0;1077444,1077444,no_pattern,,,
1049,1048,0;1098304,1098304,no_pattern,,,
1051,1050,0;1102500,1102500,no_pattern,,,
1061,1060,0;1123600,1123600,no_pattern,,,
1063,1062,0;1127844,1127844,no_pattern,,,
1069,1068,0;1140624,1140624,no_pattern,,,
1087,1086,0;1179396,1179396,no_pattern,,,
1091,1090,0;1188100,1188100,no_pattern,,,
1093,1092,0;1192464,1192464,no_pattern,,,
1097,1096,0;1201216,1201216,pattern,897536,897536;2098752,
1103,1102,0;1214404,1214404,no_pattern,,,
1109,1108,0;1227664,1227664,no_pattern,,,
1117,1116,0;1245456,1245456,no_pattern,,,
1123,1122,0;1258884,1258884,no_pattern,,,
1129,1128,0;1272384,1272384,pattern,824832,824832;2097216,
1151,1150,0;1322500,1322500,no_pattern,,,
1153,1152,0;1327104,1327104,no_pattern,,,
1163,1162,0;1350244,1350244,no_pattern,,,
1171,1170,0;1368900,1368900,no_pattern,,,
1181,1180,0;1392400,1392400,no_pattern,,,
1187,1186,0;1406596,1406596,no_pattern,,,
1193,1192,0;1420864,1420864,pattern,786944,786944;2207808,
1201,1200,0;1440000,1440000,no_pattern,,,
1213,1212,0;1468944,1468944,pattern,890376,890376;2359320,
1217,1216,0;1478656,1478656,pattern,884736,884736;2363392,
1223,1222,0;1493284,1493284,no_pattern,,,
1229,1228,0;1507984,1507984,pattern,884808,884808;2392792,
1231,1230,0;1512900,1512900,no_pattern,,,
1237,1236,0;1527696,1527696,pattern,831688,831688;2359384,
1249,1248,0;1557504,1557504,no_pattern,,,
1259,1258,0;1582564,1582564,no_pattern,,,
1277,1276,0;1628176,1628176,no_pattern,,,
1279,1278,0;1633284,1633284,no_pattern,,,
1283,1282,0;1643524,1643524,no_pattern,,,
1289,1288,0;1658944,1658944,pattern,798720,798720;2457664,
1291,1290,0;1664100,1664100,no_pattern,,,
1297,1296,0;1679616,1679616,no_pattern,,,
1301,1300,0;1690000,1690000,no_pattern,,,
1303,1302,0;1695204,1695204,no_pattern,,,
1307,1306,0;1705636,1705636,no_pattern,,,
1319,1318,0;1737124,1737124,no_pattern,,,
1321,1320,0;1742400,1742400,pattern,360448,360448;2102848,
1327,1326,0;1758276,1758276,no_pattern,,,
1361,1360,0;1849600,1849600,no_pattern,,,
1367,1366,0;1865956,1865956,no_pattern,,,
1373,1372,0;1882384,1882384,no_pattern,,,
1381,1380,0;1904400,1904400,no_pattern,,,
1399,1398,0;1954404,1954404,no_pattern,,,
1409,1408,0;1982464,1982464,no_pattern,,,
1423,1422,0;2022084,2022084,no_pattern,,,
1427,1426,0;2033476,2033476,no_pattern,,,
1429,1428,0;2039184,2039184,pattern,103112,103112;2142296,
1433,1432,0;2050624,2050624,pattern,46592,46592;2097216,
1439,1438,0;2067844,2067844,no_pattern,,,
1447,1446,0;2090916,2090916,no_pattern,,,
1451,1450,0;2102500,2102500,no_pattern,,,
1453,1452,0;2108304,2108304,pattern,1736,1736;2110040,
1459,1458,0;2125764,2125764,no_pattern,,,
1471,1470,0;2160900,2160900,no_pattern,,,
1481,1480,0;2190400,2190400,pattern,5632,5632;2196032,
1483,1482,0;2196324,2196324,no_pattern,,,
1487,1486,0;2208196,2208196,no_pattern,,,
1489,1488,0;2214144,2214144,no_pattern,,,
1493,1492,0;2226064,2226064,no_pattern,,,
1499,1498,0;2244004,2244004,no_pattern,,,
1511,1510,0;2280100,2280100,no_pattern,,,
1523,1522,0;2316484,2316484,no_pattern,,,
1531,1530,0;2340900,2340900,no_pattern,,,
1543,1542,0;2377764,2377764,no_pattern,,,
1549,1548,0;2396304,2396304,pattern,72,72;2396376,
1553,1552,0;2408704,2408704,no_pattern,,,
1559,1558,0;2427364,2427364,no_pattern,,,
1567,1566,0;2452356,2452356,no_pattern,,,
1571,1570,0;2464900,2464900,no_pattern,,,
1579,1578,0;2490084,2490084,no_pattern,,,
1583,1582,0;2502724,2502724,no_pattern,,,
1597,1596,0;2547216,2547216,pattern,373256,373256;2920472,
1601,1600,0;2560000,2560000,pattern,360448,360448;2920448,
1607,1606,0;2579236,2579236,no_pattern,,,
1609,1608,0;2585664,2585664,pattern,299520,299520;2885184,
1613,1612,0;2598544,2598544,pattern,299080,299080;2897624,
1619,1618,0;2617924,2617924,no_pattern,,,
1621,1620,0;2624400,2624400,pattern,263880,263880;2888280,
1627,1626,0;2643876,2643876,no_pattern,,,
1637,1636,0;2676496,2676496,no_pattern,,,
1657,1656,0;2742336,2742336,no_pattern,,,
1663,1662,0;2762244,2762244,no_pattern,,,
1667,1666,0;2775556,2775556,no_pattern,,,
1669,1668,0;2782224,2782224,pattern,102920,102920;2885144,
1693,1692,0;2862864,2862864,no_pattern,,,
1697,1696,0;2876416,2876416,pattern,12800,12800;2889216,
1699,1698,0;2883204,2883204,no_pattern,,,
1709,1708,0;2917264,2917264,pattern,712,712;2917976,
1721,1720,0;2958400,2958400,pattern,37376,37376;2995776,
1723,1722,0;2965284,2965284,no_pattern,,,
1733,1732,0;2999824,2999824,no_pattern,,,
1741,1740,0;3027600,3027600,no_pattern,,,
1747,1746,0;3048516,3048516,no_pattern,,,
1753,1752,0;3069504,3069504,no_pattern,,,
1759,1758,0;3090564,3090564,no_pattern,,,
1777,1776,0;3154176,3154176,no_pattern,,,
1783,1782,0;3175524,3175524,no_pattern,,,
1787,1786,0;3189796,3189796,no_pattern,,,
1789,1788,0;3196944,3196944,no_pattern,,,
1801,1800,0;3240000,3240000,no_pattern,,,
1811,1810,0;3276100,3276100,no_pattern,,,
1823,1822,0;3319684,3319684,no_pattern,,,
1831,1830,0;3348900,3348900,no_pattern,,,
1847,1846,0;3407716,3407716,no_pattern,,,
